Period;Municipality;Neighbourhood;Sampling plot;Coordinates (Latitude);Coordinates (Longitude);Habitat type;Species;;;;;;;
Rainy period ;Aracaju;Jardins;Parcela 1;"10°56'55.9""S";"37°03'15.1""W";Parque Urbano;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Jardins;Parcela 1;"10°56'55.9""S";"37°03'15.1""W";Parque Urbano;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Jardins;Parcela 1;"10°56'55.9""S";"37°03'15.1""W";Parque Urbano;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Jardins;Parcela 1;"10°56'55.9""S";"37°03'15.1""W";Parque Urbano;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Jardins;Parcela 1;"10°56'55.9""S";"37°03'15.1""W";Parque Urbano;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Jardins;Parcela 1;"10°56'55.9""S";"37°03'15.1""W";Parque Urbano;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Jardins;Parcela 1;"10°56'55.9""S";"37°03'15.1""W";Parque Urbano;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Jardins;Parcela 1;"10°56'55.9""S";"37°03'15.1""W";Parque Urbano;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Jardins;Parcela 1;"10°56'55.9""S";"37°03'15.1""W";Parque Urbano;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Jardins;Parcela 1;"10°56'55.9""S";"37°03'15.1""W";Parque Urbano;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Jardins;Parcela 1;"10°56'55.9""S";"37°03'15.1""W";Parque Urbano;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Jardins;Parcela 1;"10°56'55.9""S";"37°03'15.1""W";Parque Urbano;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Jardins;Parcela 1;"10°56'55.9""S";"37°03'15.1""W";Parque Urbano;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Jardins;Parcela 1;"10°56'55.9""S";"37°03'15.1""W";Parque Urbano;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Jardins;Parcela 1;"10°56'55.9""S";"37°03'15.1""W";Parque Urbano;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Jardins;Parcela 1;"10°56'55.9""S";"37°03'15.1""W";Parque Urbano;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Jardins;Parcela 1;"10°56'55.9""S";"37°03'15.1""W";Parque Urbano;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Jardins;Parcela 1;"10°56'55.9""S";"37°03'15.1""W";Parque Urbano;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Jardins;Parcela 1;"10°56'55.9""S";"37°03'15.1""W";Parque Urbano;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Jardins;Parcela 1;"10°56'55.9""S";"37°03'15.1""W";Parque Urbano;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Jardins;Parcela 1;"10°56'55.9""S";"37°03'15.1""W";Parque Urbano;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Jardins;Parcela 1;"10°56'55.9""S";"37°03'15.1""W";Parque Urbano;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Jardins;Parcela 1;"10°56'55.9""S";"37°03'15.1""W";Parque Urbano;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Jardins;Parcela 1;"10°56'55.9""S";"37°03'15.1""W";Parque Urbano;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Jardins;Parcela 1;"10°56'55.9""S";"37°03'15.1""W";Parque Urbano;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Jardins;Parcela 1;"10°56'55.9""S";"37°03'15.1""W";Parque Urbano;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Jardins;Parcela 2;"10°56'46.7""S";"37°03'41.7""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Jardins;Parcela 2;"10°56'46.7""S";"37°03'41.7""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Jardins;Parcela 2;"10°56'46.7""S";"37°03'41.7""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Jardins;Parcela 2;"10°56'46.7""S";"37°03'41.7""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Jardins;Parcela 2;"10°56'46.7""S";"37°03'41.7""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Jardins;Parcela 2;"10°56'46.7""S";"37°03'41.7""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Jardins;Parcela 2;"10°56'46.7""S";"37°03'41.7""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Jardins;Parcela 2;"10°56'46.7""S";"37°03'41.7""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Jardins;Parcela 2;"10°56'46.7""S";"37°03'41.7""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Jardins;Parcela 2;"10°56'46.7""S";"37°03'41.7""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Jardins;Parcela 2;"10°56'46.7""S";"37°03'41.7""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Jardins;Parcela 2;"10°56'46.7""S";"37°03'41.7""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Jardins;Parcela 2;"10°56'46.7""S";"37°03'41.7""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Jardins;Parcela 2;"10°56'46.7""S";"37°03'41.7""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Jardins;Parcela 2;"10°56'46.7""S";"37°03'41.7""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Jardins;Parcela 2;"10°56'46.7""S";"37°03'41.7""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Jardins;Parcela 2;"10°56'46.7""S";"37°03'41.7""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Jardins;Parcela 2;"10°56'46.7""S";"37°03'41.7""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Jardins;Parcela 2;"10°56'46.7""S";"37°03'41.7""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Jardins;Parcela 2;"10°56'46.7""S";"37°03'41.7""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Jardins;Parcela 2;"10°56'46.7""S";"37°03'41.7""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Jardins;Parcela 2;"10°56'46.7""S";"37°03'41.7""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Jardins;Parcela 2;"10°56'46.7""S";"37°03'41.7""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Jardins;Parcela 2;"10°56'46.7""S";"37°03'41.7""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Jardins;Parcela 2;"10°56'46.7""S";"37°03'41.7""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Jardins;Parcela 2;"10°56'46.7""S";"37°03'41.7""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Jardins;Parcela 2;"10°56'46.7""S";"37°03'41.7""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Jardins;Parcela 2;"10°56'46.7""S";"37°03'41.7""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Jardins;Parcela 2;"10°56'46.7""S";"37°03'41.7""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Jardins;Parcela 2;"10°56'46.7""S";"37°03'41.7""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Jardins;Parcela 2;"10°56'46.7""S";"37°03'41.7""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Jardins;Parcela 2;"10°56'46.7""S";"37°03'41.7""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Jardins;Parcela 2;"10°56'46.7""S";"37°03'41.7""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Farolândia;Parcela 1;"10°57'58.6""S";"37°03'54.4""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Farolândia;Parcela 1;"10°57'58.6""S";"37°03'54.4""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Farolândia;Parcela 1;"10°57'58.6""S";"37°03'54.4""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Farolândia;Parcela 1;"10°57'58.6""S";"37°03'54.4""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Farolândia;Parcela 1;"10°57'58.6""S";"37°03'54.4""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Farolândia;Parcela 1;"10°57'58.6""S";"37°03'54.4""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Farolândia;Parcela 1;"10°57'58.6""S";"37°03'54.4""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Farolândia;Parcela 1;"10°57'58.6""S";"37°03'54.4""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Farolândia;Parcela 1;"10°57'58.6""S";"37°03'54.4""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Farolândia;Parcela 1;"10°57'58.6""S";"37°03'54.4""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Farolândia;Parcela 1;"10°57'58.6""S";"37°03'54.4""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Farolândia;Parcela 1;"10°57'58.6""S";"37°03'54.4""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Farolândia;Parcela 1;"10°57'58.6""S";"37°03'54.4""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Farolândia;Parcela 1;"10°57'58.6""S";"37°03'54.4""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Farolândia;Parcela 1;"10°57'58.6""S";"37°03'54.4""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Farolândia;Parcela 1;"10°57'58.6""S";"37°03'54.4""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Farolândia;Parcela 1;"10°57'58.6""S";"37°03'54.4""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Farolândia;Parcela 1;"10°57'58.6""S";"37°03'54.4""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Farolândia;Parcela 1;"10°57'58.6""S";"37°03'54.4""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Farolândia;Parcela 1;"10°57'58.6""S";"37°03'54.4""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Farolândia;Parcela 1;"10°57'58.6""S";"37°03'54.4""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Farolândia;Parcela 1;"10°57'58.6""S";"37°03'54.4""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Farolândia;Parcela 1;"10°57'58.6""S";"37°03'54.4""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Farolândia;Parcela 1;"10°57'58.6""S";"37°03'54.4""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Farolândia;Parcela 1;"10°57'58.6""S";"37°03'54.4""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Farolândia;Parcela 1;"10°57'58.6""S";"37°03'54.4""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Farolândia;Parcela 1;"10°57'58.6""S";"37°03'54.4""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Farolândia;Parcela 1;"10°57'58.6""S";"37°03'54.4""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Farolândia;Parcela 1;"10°57'58.6""S";"37°03'54.4""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Farolândia;Parcela 1;"10°57'58.6""S";"37°03'54.4""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Farolândia;Parcela 1;"10°57'58.6""S";"37°03'54.4""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Farolândia;Parcela 1;"10°57'58.6""S";"37°03'54.4""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Farolândia;Parcela 1;"10°57'58.6""S";"37°03'54.4""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Farolândia;Parcela 1;"10°57'58.6""S";"37°03'54.4""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Farolândia;Parcela 1;"10°57'58.6""S";"37°03'54.4""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Farolândia;Parcela 1;"10°57'58.6""S";"37°03'54.4""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Farolândia;Parcela 1;"10°57'58.6""S";"37°03'54.4""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Farolândia;Parcela 1;"10°57'58.6""S";"37°03'54.4""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Farolândia;Parcela 1;"10°57'58.6""S";"37°03'54.4""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Farolândia;Parcela 1;"10°57'58.6""S";"37°03'54.4""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Farolândia;Parcela 1;"10°57'58.6""S";"37°03'54.4""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Farolândia;Parcela 1;"10°57'58.6""S";"37°03'54.4""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Farolândia;Parcela 1;"10°57'58.6""S";"37°03'54.4""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Farolândia;Parcela 1;"10°57'58.6""S";"37°03'54.4""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Farolândia;Parcela 1;"10°57'58.6""S";"37°03'54.4""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Farolândia;Parcela 1;"10°57'58.6""S";"37°03'54.4""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Farolândia;Parcela 1;"10°57'58.6""S";"37°03'54.4""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Farolândia;Parcela 1;"10°57'58.6""S";"37°03'54.4""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Farolândia;Parcela 2;"10°57'58.0""S";"37°03'57.3""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Farolândia;Parcela 2;"10°57'58.0""S";"37°03'57.3""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Farolândia;Parcela 2;"10°57'58.0""S";"37°03'57.3""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Farolândia;Parcela 2;"10°57'58.0""S";"37°03'57.3""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Farolândia;Parcela 2;"10°57'58.0""S";"37°03'57.3""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Farolândia;Parcela 2;"10°57'58.0""S";"37°03'57.3""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Farolândia;Parcela 1;"10°57'58.6""S";"37°03'54.4""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Farolândia;Parcela 2;"10°57'58.0""S";"37°03'57.3""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Farolândia;Parcela 2;"10°57'58.0""S";"37°03'57.3""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Farolândia;Parcela 2;"10°57'58.0""S";"37°03'57.3""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Farolândia;Parcela 2;"10°57'58.0""S";"37°03'57.3""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Farolândia;Parcela 2;"10°57'58.0""S";"37°03'57.3""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Farolândia;Parcela 2;"10°57'58.0""S";"37°03'57.3""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Farolândia;Parcela 2;"10°57'58.0""S";"37°03'57.3""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Farolândia;Parcela 2;"10°57'58.0""S";"37°03'57.3""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Farolândia;Parcela 2;"10°57'58.0""S";"37°03'57.3""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Farolândia;Parcela 2;"10°57'58.0""S";"37°03'57.3""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Farolândia;Parcela 2;"10°57'58.0""S";"37°03'57.3""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Farolândia;Parcela 2;"10°57'58.0""S";"37°03'57.3""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Farolândia;Parcela 2;"10°57'58.0""S";"37°03'57.3""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Farolândia;Parcela 2;"10°57'58.0""S";"37°03'57.3""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Farolândia;Parcela 2;"10°57'58.0""S";"37°03'57.3""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Farolândia;Parcela 2;"10°57'58.0""S";"37°03'57.3""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Farolândia;Parcela 2;"10°57'58.0""S";"37°03'57.3""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Farolândia;Parcela 2;"10°57'58.0""S";"37°03'57.3""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Farolândia;Parcela 2;"10°57'58.0""S";"37°03'57.3""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Farolândia;Parcela 2;"10°57'58.0""S";"37°03'57.3""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Farolândia;Parcela 2;"10°57'58.0""S";"37°03'57.3""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Farolândia;Parcela 2;"10°57'58.0""S";"37°03'57.3""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Farolândia;Parcela 2;"10°57'58.0""S";"37°03'57.3""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 2;"10°59'36.0""S";"37°03'43.9""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 2;"10°59'36.0""S";"37°03'43.9""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 2;"10°59'36.0""S";"37°03'43.9""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 2;"10°59'36.0""S";"37°03'43.9""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 2;"10°59'36.0""S";"37°03'43.9""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 2;"10°59'36.0""S";"37°03'43.9""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 2;"10°59'36.0""S";"37°03'43.9""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 2;"10°59'36.0""S";"37°03'43.9""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 2;"10°59'36.0""S";"37°03'43.9""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 2;"10°59'36.0""S";"37°03'43.9""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 2;"10°59'36.0""S";"37°03'43.9""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 2;"10°59'36.0""S";"37°03'43.9""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 2;"10°59'36.0""S";"37°03'43.9""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 2;"10°59'36.0""S";"37°03'43.9""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 2;"10°59'36.0""S";"37°03'43.9""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 2;"10°59'36.0""S";"37°03'43.9""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 2;"10°59'36.0""S";"37°03'43.9""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 2;"10°59'36.0""S";"37°03'43.9""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 2;"10°59'36.0""S";"37°03'43.9""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 2;"10°59'36.0""S";"37°03'43.9""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 2;"10°59'36.0""S";"37°03'43.9""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 2;"10°59'36.0""S";"37°03'43.9""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 2;"10°59'36.0""S";"37°03'43.9""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 2;"10°59'36.0""S";"37°03'43.9""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 2;"10°59'36.0""S";"37°03'43.9""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 2;"10°59'36.0""S";"37°03'43.9""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 2;"10°59'36.0""S";"37°03'43.9""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 2;"10°59'36.0""S";"37°03'43.9""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 2;"10°59'36.0""S";"37°03'43.9""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 2;"10°59'36.0""S";"37°03'43.9""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 2;"10°59'36.0""S";"37°03'43.9""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 2;"10°59'36.0""S";"37°03'43.9""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 2;"10°59'36.0""S";"37°03'43.9""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 2;"10°59'36.0""S";"37°03'43.9""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 2;"10°59'36.0""S";"37°03'43.9""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 2;"10°59'36.0""S";"37°03'43.9""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 2;"10°59'36.0""S";"37°03'43.9""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 2;"10°59'36.0""S";"37°03'43.9""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 2;"10°59'36.0""S";"37°03'43.9""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 2;"10°59'36.0""S";"37°03'43.9""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 2;"10°59'36.0""S";"37°03'43.9""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 2;"10°59'36.0""S";"37°03'43.9""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 2;"10°59'36.0""S";"37°03'43.9""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 2;"10°59'36.0""S";"37°03'43.9""W";Terreno baldio;Achatina fulica;;;;;;;
